,0,1,2,3,4,5,6
234,229,zpdes,Autonomy,mot-TENS,mot-tens-9,8,1
235,229,zpdes,Autonomy,mot-TENS,mot-tens-10,8,1
236,229,zpdes,Mental Demand,mot-NASA-TLX,mot-tlx-1,8,14
237,229,zpdes,Physical demand,mot-NASA-TLX,mot-tlx-2,8,2
238,229,zpdes,Temporal demand,mot-NASA-TLX,mot-tlx-3,8,9
239,229,zpdes,Performance,mot-NASA-TLX,mot-tlx-4,8,6
240,229,zpdes,Effort,mot-NASA-TLX,mot-tlx-5,8,12
241,229,zpdes,Frustration,mot-NASA-TLX,mot-tlx-6,8,13
242,229,zpdes,FA-S.1,mot-UES,mot-UES-1,9,0
243,229,zpdes,FA-S.2,mot-UES,mot-UES-2,9,3
244,229,zpdes,FA-S.3,mot-UES,mot-UES-3,9,3
245,229,zpdes,PU-S.1,mot-UES,mot-UES-4,9,3
246,229,zpdes,PU-S.2,mot-UES,mot-UES-5,9,1
247,229,zpdes,PU-S.3,mot-UES,mot-UES-6,9,3
248,229,zpdes,AE-S.1,mot-UES,mot-UES-7,9,3
249,229,zpdes,AE-S.2,mot-UES,mot-UES-8,9,3
250,229,zpdes,AE-S.3,mot-UES,mot-UES-9,9,3
251,229,zpdes,RW-S.1,mot-UES,mot-UES-10,9,3
252,229,zpdes,RW-S.2,mot-UES,mot-UES-11,9,1
253,229,zpdes,RW-S.3,mot-UES,mot-UES-12,9,1
254,229,zpdes,Mental Demand,mot-NASA-TLX,mot-tlx-1,9,15
255,229,zpdes,Physical demand,mot-NASA-TLX,mot-tlx-2,9,6
256,229,zpdes,Temporal demand,mot-NASA-TLX,mot-tlx-3,9,11
257,229,zpdes,Performance,mot-NASA-TLX,mot-tlx-4,9,8
258,229,zpdes,Effort,mot-NASA-TLX,mot-tlx-5,9,14
259,229,zpdes,Frustration,mot-NASA-TLX,mot-tlx-6,9,8
260,231,baseline,long_term,get_mot_profil,prof-mot-1,0,39.878
261,231,baseline,long_term,get_mot_profil,prof-mot-2,0,0
262,231,baseline,long_term,get_mot_profil,prof-mot-12,0,2002
263,231,baseline,long_term,get_mot_profil,prof-mot-6,0,1
264,231,baseline,long_term,get_mot_profil,prof-mot-7,0,0
265,231,baseline,long_term,get_mot_profil,prof-mot-8,0,0
266,231,baseline,long_term,get_mot_profil,prof-mot-10,0,0
267,231,baseline,long_term,get_mot_profil,prof-mot-11,0,1
268,231,baseline,FA-S.1,mot-UES,mot-UES-1,0,2
269,231,baseline,FA-S.2,mot-UES,mot-UES-2,0,1
270,231,baseline,FA-S.3,mot-UES,mot-UES-3,0,4
271,231,baseline,PU-S.1,mot-UES,mot-UES-4,0,3
272,231,baseline,PU-S.2,mot-UES,mot-UES-5,0,3
273,231,baseline,PU-S.3,mot-UES,mot-UES-6,0,3
274,231,baseline,AE-S.1,mot-UES,mot-UES-7,0,3
275,231,baseline,AE-S.2,mot-UES,mot-UES-8,0,3
276,231,baseline,AE-S.3,mot-UES,mot-UES-9,0,2
277,231,baseline,RW-S.1,mot-UES,mot-UES-10,0,3
278,231,baseline,RW-S.2,mot-UES,mot-UES-11,0,3
