,participant_id,task_idx,task_status,participant_name,results_responses,results_rt,results_ind_previous,results_targetvalue
20,90,3,PRE_TEST,Thomik,"0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0",",,600,567,,,633,,734,600,,601,,,,667,600,633,633,,634,,733,600,,634,,,700,,,,617,633,,,617,,,600,633,669,,666,","6,4,6,5,3,3,6,3,6,5,2,6,0,1,3,0,6,3,5,5,2,6,5,5,5,5,3,4,1,3,0,3,5,3,5,2,5,2,5,5,6,6,2,4,5","6,1,3,3,4,6,3,1,3,3,5,3,5,2,8,3,3,3,3,2,3,5,3,3,3,3,2,8,3,1,8,8,3,3,1,4,3,1,1,3,3,3,2,3,9"
21,90,3,POST_TEST,Thomik,"1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1","534,566,583,,,550,599,,,567,,,,,583,600,567,,,,534,,600,,667,600,517,,,900,517,,583,584,,534,,,,,517,,567,633,616,,567","0,3,0,1,0,5,4,5,6,6,6,0,6,1,4,4,1,4,2,6,5,4,6,1,2,6,3,0,4,5,1,0,2,3,6,5,4,5,6,6,1,3,3,1,5,0,4","3,3,3,4,9,3,3,2,1,3,5,1,4,4,3,3,3,1,4,4,3,2,3,6,3,3,3,9,8,3,3,2,3,3,4,3,6,4,9,8,3,9,3,3,3,1,3"
22,96,6,PRE_TEST,MathildeCAZES,"0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0",",500,499,,,583,,566,548,733,,615,665,565,,,499,,,,599,615,,,664,649,532,,515,533,,,,632,565,,,,582,,532,599,,","6,5,2,6,2,5,4,4,3,5,4,6,6,5,0,2,5,6,1,6,6,3,5,6,1,6,3,4,0,2,0,2,3,5,0,4,5,1,3,5,0,2,1,2","9,3,3,8,6,3,5,3,3,3,9,3,3,3,6,4,3,5,1,6,3,3,4,2,3,3,3,4,3,3,3,5,2,3,3,5,1,1,3,8,3,3,8,4"
23,96,6,POST_TEST,MathildeCAZES,"0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1",",,464,,,483,582,500,,515,565,,482,,515,,,498,582,532,,,698,482,,,532,,,599,565,548,,581,,,,697,698","4,2,6,4,5,5,2,5,3,5,1,5,1,6,3,1,1,5,0,2,5,5,5,5,1,4,0,6,4,6,0,4,5,6,1,0,1,3,2","9,8,3,1,5,3,3,3,5,3,3,9,3,6,3,9,2,3,3,3,6,6,3,3,8,8,3,8,4,3,3,3,4,3,9,2,2,3,3"
24,97,3,PRE_TEST,croquis,"0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0",",484,567,634,,617,,534,533,,583,585,533,,,,,,667,601,751,,,,584,517,533,734,667,,,,584,,,568,,600,517,550,,","1,5,3,5,0,0,1,0,3,5,6,5,2,5,4,2,1,5,3,6,4,4,0,1,0,4,0,1,3,1,0,3,0,2,1,5,6,2,5,6,3,4","2,3,3,3,1,3,8,3,3,5,3,3,3,9,5,1,8,6,3,3,3,1,5,1,3,3,3,3,3,8,9,1,3,8,1,3,1,3,3,3,4,2"
25,97,3,POST_TEST,croquis,"1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1","562,,624,,562,688,,,,719,718,,719,,751,,,657,626,,,687,,,875,,,,594,937,,,,626,688,,657,,656,625,,748,,,875,688,,,,718","5,2,7,7,4,3,3,0,2,0,7,3,7,4,3,3,7,2,1,0,0,1,5,4,4,0,3,3,7,0,1,6,1,4,6,3,5,2,4,3,4,7,1,3,5,0,4,3,7,5","3,6,3,4,3,3,9,8,2,3,3,2,3,6,3,5,1,3,3,2,3,3,8,5,3,8,8,6,3,3,9,6,6,3,3,1,3,8,3,3,2,3,8,5,3,3,4,4,3,3"
26,116,2,PRE_TEST,ylemesle,"0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0",",433,,416,,449,467,,,466,,399,,,,449,467,416,,417,,450,,466,483,,,483,,1016,466,,483,,483,,,533,466,483,,,533,,,516,","4,2,2,4,5,0,2,5,4,3,3,0,1,1,1,6,0,1,4,3,3,0,4,4,0,4,4,1,6,1,6,2,3,1,2,3,3,0,3,3,4,0,3,3,1,1,2","2,3,4,3,5,3,3,9,6,3,2,3,9,2,4,3,3,3,6,3,9,3,5,3,3,8,5,3,8,3,3,4,3,3,3,1,4,3,3,3,2,6,3,1,2,3,5"
27,116,2,POST_TEST,ylemesle,"0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1",",,433,,483,,499,433,,,,,,433,416,500,449,,466,,,466,,,450,,433,449,,,483,466,,,533,450,400,,,,,450","3,6,2,5,6,1,5,1,5,3,2,5,1,5,1,5,1,1,2,1,2,5,1,2,2,2,3,4,1,4,6,0,1,4,6,6,2,5,4,4,3,3","9,1,3,1,3,1,3,3,1,9,1,6,3,3,3,3,3,5,3,8,1,3,5,5,3,5,3,3,1,9,3,3,4,5,3,3,3,5,5,6,8,3"
28,77,3,PRE_TEST,seguinanto,"0,2,1,1,0,1,1,2,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0",",366,417,430,,416,416,366,,383,534,400,,,417,415,,716,434,599,,,,450,484,,450,433,433,,420,516,,,,433,,,417,,,450,416,","0,1,3,2,5,2,0,5,4,2,4,3,1,3,2,2,0,5,2,1,5,6,4,5,2,5,3,0,1,4,4,2,1,4,1,3,4,2,5,1,6,5,3,1","1,9,3,3,2,3,3,8,4,3,3,3,8,4,3,3,5,3,3,3,2,8,4,3,3,4,3,3,3,5,3,3,8,9,2,3,2,4,3,1,9,3,3,5"
29,77,3,POST_TEST,seguinanto,"0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1",",416,466,483,432,,,,450,,,583,567,,,551,466,,,484,,,533,417,,,434,449,450,534,,,550,550,,583,,,,,549,548","0,3,0,4,4,5,3,2,3,6,3,3,6,0,4,1,5,6,0,2,2,1,1,0,5,2,3,6,5,6,5,6,6,0,1,0,1,4,5,5,2,6","9,3,3,3,3,1,1,8,3,1,9,3,3,4,1,3,3,4,9,3,1,9,3,3,4,2,3,3,3,3,6,8,3,3,4,3,8,2,8,8,3,3"
30,140,2,PRE_TEST,DocheHarden,"1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1","432,466,399,,434,394,,,,399,,,417,,416,,416,,,400,383,383,,383,,416,,,,416,433,416,466,,383,,433,,366,,,,417,,466,417","1,3,3,5,4,3,1,6,6,5,0,1,6,1,2,4,4,5,1,3,5,3,3,0,5,4,1,4,1,0,5,3,3,2,2,4,3,3,0,1,5,6,4,1,6,4","3,3,3,5,3,3,5,2,8,3,4,4,3,9,3,4,3,9,8,3,3,3,1,3,9,3,5,9,8,3,3,3,3,6,3,9,3,1,3,1,8,1,3,5,3,3"
31,140,2,POST_TEST,DocheHarden,"0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1",",,433,433,,417,450,,,449,,500,533,450,,,,,,450,,,484,,449,516,467,,,,,482,467,499,,,516,,450,466,,,417,483,,500","3,0,1,2,0,5,1,2,0,1,3,3,1,5,2,5,2,0,5,2,4,5,2,2,3,4,1,2,3,3,4,2,6,5,0,1,0,1,5,0,1,4,2,0,4,3","8,4,3,3,9,3,3,9,4,3,8,3,3,3,9,1,4,8,6,3,2,1,3,6,3,3,3,8,6,5,9,3,3,3,1,3,3,5,3,3,4,4,3,3,6,3"
32,155,1,PRE_TEST,Yannis,"0,1,0,0,1,2,0,0,1,0,0,2,1,0,2,2,0,1,1,2,1,1,2,2,1,2,1,0,1,2,2,1,1,1,2,0,0,1,1,0,0,2,2,1,1,0",",735,,,16,466,,,567,,,468,917,,551,516,,450,566,834,217,267,884,482,700,618,768,,500,482,685,868,585,885,549,,,735,716,,,648,985,752,716,","3,4,2,6,0,2,5,2,4,0,5,0,6,3,4,6,2,1,2,5,6,1,2,3,5,6,2,0,3,0,0,6,5,1,3,6,4,4,1,2,3,6,2,0,5,3","8,3,9,3,3,8,5,8,3,3,3,5,3,3,6,4,5,3,3,5,3,3,8,6,3,6,3,9,3,9,5,3,3,3,1,9,3,3,3,9,9,1,2,3,3,9"
33,155,1,POST_TEST,Yannis,"0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1",",832,,,664,,649,1000,549,,,734,617,701,,,617,,,614,818,,649,683,717,,782,,,,,682,,,,651,,701,681,714,,,,583,,633,,615,,634","5,1,7,7,1,0,5,6,1,7,2,2,4,0,2,0,2,0,4,1,7,7,4,5,5,2,0,5,5,4,0,5,0,4,4,0,6,4,7,7,0,2,3,2,0,1,6,4,0,3","6,3,6,6,3,6,3,3,3,6,2,3,3,3,5,5,3,4,5,3,3,4,3,3,3,8,3,4,4,2,5,3,8,1,8,3,5,3,3,3,2,3,1,3,2,3,2,3,2,3"
34,158,5,PRE_TEST,cromac,"1,2,1,1,1,2,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0","400,433,516,583,567,616,,,583,,600,566,,550,,,533,,534,517,534,533,,,,550,,533,600,,,517,,,549,600,,550,,567,,550,,","5,5,5,6,5,1,0,0,3,3,3,3,3,0,3,0,1,0,1,1,0,6,0,1,2,5,0,1,3,0,5,4,1,4,4,4,0,2,4,2,6,1,5,6","3,9,3,3,3,1,9,9,3,9,3,3,1,3,1,1,3,8,3,3,3,3,4,2,9,3,1,3,3,2,5,3,5,2,3,3,6,3,6,3,6,3,8,4"
