,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switch-rt-taskswitch,parity-unswitch-rt-taskswitch,relative-switch-rt-taskswitch,relative-unswitch-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
10,82,PRE_TEST,655.3125,0.8133333333333336,0.5999999999999999,0.4666666666666667,763.4038461538462,681.9615384615385,836.6511627906976,728.9302325581396,0.2,0.15,0.0,0.09375,0.0625,0.1875,0.0625,0.35,0.35,0.15,0.55,0.5,0.8333333333333334,0.4166666666666667,0.25,0.0833333333333333,0.0
11,82,POST_TEST,587.0555555555555,0.84,0.6133333333333333,0.5466666666666666,602.8125,525.3333333333334,711.9583333333334,666.9166666666666,0.25,0.25,0.0,0.0,0.03125,0.0,0.03125,0.55,0.65,0.45,0.25,0.35,0.75,0.5833333333333334,0.25,0.0833333333333333,0.0
12,85,PRE_TEST,477.5,0.9866666666666668,0.7733333333333334,0.5733333333333334,361.3333333333333,397.9411764705882,295.53333333333336,375.0888888888889,0.7,0.75,0.34375,0.3125,0.40625,0.40625,0.25,1.0,0.8,0.85,0.7,0.5,1.0,0.9166666666666666,0.6666666666666666,0.5,0.25
13,85,POST_TEST,454.3333333333333,0.9866666666666668,0.8000000000000002,0.6133333333333332,308.4339622641509,296.49056603773585,330.16279069767444,289.06976744186045,0.95,0.95,0.3125,0.34375,0.40625,0.375,0.15625,0.95,0.9,0.8,0.8,0.55,1.0,1.0,0.8333333333333334,0.5833333333333334,0.3333333333333333
14,84,PRE_TEST,540.8888888888889,0.8400000000000002,0.6133333333333333,0.5866666666666664,359.85714285714283,587.8928571428571,616.2,403.675,0.7,0.8,0.4375,0.5,0.5,0.4375,0.21875,0.8,0.65,0.25,0.05,0.0,0.9166666666666666,0.9166666666666666,0.5,0.3333333333333333,0.0
15,84,POST_TEST,601.1666666666666,0.52,0.5333333333333333,0.5333333333333331,273.3728813559322,518.271186440678,493.1891891891892,261.9189189189189,0.9,0.65,0.46875,0.46875,0.5,0.46875,0.21875,0.5,0.5,0.35,0.35,0.1,0.9166666666666666,0.75,0.3333333333333333,0.0833333333333333,0.0
16,87,PRE_TEST,455.9411764705882,1.0,0.7733333333333335,0.5333333333333333,379.4230769230769,342.15384615384613,474.4772727272728,475.70454545454544,0.85,0.7,0.34375,0.40625,0.5,0.4375,0.34375,0.95,0.9,0.95,0.55,0.45,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
17,87,POST_TEST,483.27777777777777,0.9866666666666668,0.7466666666666667,0.6133333333333334,358.0192307692308,407.3269230769231,425.5,300.25,0.9,0.7,0.4375,0.40625,0.40625,0.46875,0.25,0.95,0.95,0.8,0.6,0.35,1.0,1.0,1.0,0.5833333333333334,0.4166666666666667
18,90,PRE_TEST,636.4117647058823,0.9333333333333332,0.8266666666666667,0.7866666666666667,382.1296296296296,475.2962962962963,521.4285714285714,303.2619047619048,0.9,0.7,0.3125,0.28125,0.25,0.3125,0.125,0.8,0.7,0.6,0.4,0.35,0.9166666666666666,0.9166666666666666,1.0,0.5833333333333334,0.4166666666666667
19,90,POST_TEST,591.7222222222222,0.9600000000000002,0.8666666666666668,0.7333333333333333,410.3928571428572,492.125,490.975,372.175,0.9,1.0,0.3125,0.40625,0.40625,0.375,0.125,1.0,0.95,0.9,0.6,0.25,1.0,1.0,0.6666666666666666,0.5,0.5
20,96,PRE_TEST,581.1764705882352,0.9733333333333334,0.8000000000000002,0.6,447.06382978723406,478.5957446808511,577.734693877551,513.3265306122449,0.7,0.65,0.3125,0.375,0.34375,0.34375,0.3125,0.75,0.55,0.35,0.45,0.3,,,,,
21,96,POST_TEST,540.1666666666666,0.9733333333333332,0.7733333333333333,0.6133333333333333,454.3777777777778,360.97777777777776,442.921568627451,533.6470588235294,0.8,0.4,0.4375,0.46875,0.46875,0.46875,0.46875,0.9,0.7,0.55,0.55,0.35,,,,,
