participant_id,task_status,condition,2-hit-miss,3-hit-miss,4-hit-miss,5-hit-miss,100-hit-miss,2-rt,3-rt,4-rt,5-rt,100-rt,2-fa-cr,3-fa-cr,4-fa-cr,5-fa-cr,100-fa-cr
261,PRE_TEST,zpdes,16.0,14.0,13.0,11.0,9.0,764.6875,799.2142857142857,869.1538461538462,817.9090909090909,787.0,2.0,3.0,4.0,2.0,0.0
261,POST_TEST,zpdes,13.0,13.0,15.0,14.0,13.0,889.0769230769231,841.3846153846154,864.8666666666667,824.2857142857143,892.6923076923077,0.0,2.0,0.0,0.0,0.0
263,PRE_TEST,baseline,16.0,15.0,15.0,15.0,13.0,725.1875,765.8666666666667,763.6666666666666,742.4,752.5384615384615,1.0,2.0,1.0,1.0,0.0
263,POST_TEST,baseline,11.0,14.0,12.0,13.0,10.0,842.4545454545455,910.5,857.75,883.3076923076923,898.3,3.0,6.0,0.0,2.0,1.0
265,PRE_TEST,zpdes,11.0,14.0,9.0,11.0,10.0,876.7272727272727,893.5714285714286,862.2222222222222,799.9090909090909,864.4,0.0,2.0,3.0,1.0,1.0
265,POST_TEST,zpdes,12.0,13.0,12.0,12.0,0.0,919.3333333333334,904.1538461538462,934.25,887.5833333333334,1400.0,2.0,0.0,0.0,0.0,0.0
267,PRE_TEST,baseline,15.0,6.0,13.0,10.0,4.0,950.3333333333334,946.3333333333334,924.9230769230769,942.8,978.5,0.0,0.0,1.0,1.0,0.0
267,POST_TEST,baseline,15.0,12.0,11.0,15.0,13.0,894.1333333333333,886.0,887.7272727272727,902.4666666666667,882.7692307692307,0.0,1.0,0.0,2.0,0.0
268,PRE_TEST,zpdes,15.0,16.0,14.0,9.0,11.0,895.0,920.5625,939.2142857142857,873.0,889.0,1.0,0.0,1.0,0.0,0.0
268,POST_TEST,zpdes,16.0,15.0,16.0,14.0,13.0,820.875,819.0666666666667,834.5625,865.3571428571429,851.7692307692307,2.0,3.0,0.0,2.0,0.0
270,PRE_TEST,zpdes,15.0,16.0,16.0,15.0,14.0,850.0,836.1875,857.1875,898.8666666666667,811.8571428571429,0.0,1.0,2.0,1.0,0.0
270,POST_TEST,zpdes,15.0,14.0,12.0,15.0,10.0,834.2666666666667,899.5,869.3333333333334,876.1333333333333,934.6,1.0,3.0,1.0,1.0,0.0
272,PRE_TEST,baseline,14.0,16.0,16.0,13.0,11.0,893.6428571428571,916.375,909.9375,943.2307692307693,907.3636363636364,2.0,2.0,1.0,1.0,0.0
272,POST_TEST,baseline,11.0,12.0,11.0,13.0,8.0,886.0909090909091,874.25,879.9090909090909,881.7692307692307,897.875,1.0,2.0,1.0,2.0,0.0
274,PRE_TEST,baseline,11.0,12.0,11.0,14.0,6.0,858.8181818181819,884.4166666666666,895.1818181818181,873.6428571428571,824.5,2.0,5.0,4.0,5.0,0.0
274,POST_TEST,baseline,10.0,8.0,13.0,11.0,5.0,831.2,928.5,827.9230769230769,861.7272727272727,696.0,4.0,7.0,3.0,2.0,0.0
277,PRE_TEST,zpdes,11.0,12.0,12.0,9.0,9.0,831.0,873.0,777.25,803.3333333333334,827.2222222222222,3.0,3.0,7.0,6.0,0.0
277,POST_TEST,zpdes,13.0,13.0,16.0,16.0,8.0,886.5384615384615,942.4615384615385,909.875,844.8125,955.125,4.0,0.0,2.0,1.0,0.0
280,PRE_TEST,zpdes,16.0,14.0,16.0,15.0,10.0,851.4375,853.7857142857143,872.9375,823.4,891.0,0.0,2.0,2.0,0.0,0.0
280,POST_TEST,zpdes,13.0,15.0,13.0,12.0,3.0,923.1538461538462,916.4,868.9230769230769,961.1666666666666,972.6666666666666,1.0,3.0,3.0,0.0,0.0
281,PRE_TEST,baseline,14.0,14.0,12.0,16.0,5.0,900.7857142857143,911.8571428571429,916.25,928.1875,973.6,0.0,3.0,0.0,4.0,1.0
281,POST_TEST,baseline,14.0,14.0,14.0,15.0,9.0,790.2142857142857,775.5,780.5,775.0,783.0,3.0,6.0,3.0,4.0,1.0
