participant_id,task_status,2-hit-miss,3-hit-miss,4-hit-miss,5-hit-miss,100-hit-miss,2-rt,3-rt,4-rt,5-rt,100-rt,2-fa-cr,3-fa-cr,4-fa-cr,5-fa-cr,100-fa-cr
184,PRE_TEST,0.375,0.4375,0.25,0.375,0.375,797.3333333333334,750.1428571428571,826.0,836.1666666666666,781.0,0.0,0.125,0.1875,0.125,0.1875
184,POST_TEST,0.6875,0.625,0.375,0.5,0.375,821.5454545454545,866.9,888.3333333333334,826.0,672.8333333333334,0.1875,0.0625,0.0625,0.25,0.0625
185,PRE_TEST,0.25,0.3125,0.4375,0.5,0.25,841.0,876.2,868.8571428571429,885.375,850.0,0.0,0.1875,0.375,0.1875,0.125
185,POST_TEST,0.4375,0.625,0.5625,0.6875,0.375,766.7142857142857,749.4,894.1111111111111,822.2727272727273,721.3333333333334,0.1875,0.1875,0.0625,0.125,0.0
176,PRE_TEST,0.75,0.625,0.6875,0.625,0.625,881.0,897.9,887.1818181818181,910.1,925.4,0.3125,0.125,0.0625,0.25,0.0
176,POST_TEST,0.4375,0.1875,0.4375,0.375,0.0,888.2857142857143,955.0,905.7142857142857,896.6666666666666,1400.0,0.125,0.0,0.125,0.0,0.0
190,PRE_TEST,0.625,0.875,0.75,0.875,0.75,912.0,896.4285714285714,901.0,912.7142857142857,880.25,0.0625,0.0625,0.0625,0.0,0.0
190,POST_TEST,0.9375,1.0,0.9375,0.875,0.8125,878.5333333333333,908.1875,883.0,925.8571428571429,883.3076923076923,0.0625,0.0,0.125,0.0,0.0
196,PRE_TEST,0.9375,0.875,0.5625,0.8125,0.5625,870.5333333333333,890.1428571428571,901.4444444444445,858.7692307692307,894.0,0.125,0.1875,0.0625,0.0625,0.0
196,POST_TEST,0.8125,0.8125,0.6875,0.75,0.75,836.8461538461538,899.9230769230769,887.2727272727273,897.25,862.1666666666666,0.0625,0.125,0.25,0.25,0.0625
